"Overledenen; geslacht en leeftijd, per week"
""
""
"Topic";"Overledenen";"Overledenen";"Overledenen";"Overledenen"
"Age (on December 31)";"Total age";"0 to 65 years";"65 to 80 years";"80 years or older"
"Sex";"Total men and women";"Total men and women";"Total men and women";"Total men and women"
"Periods";"number";"number";"number";"number"
"2004 week 11";"2649";"475";"825";"1349"
"2004 week 12";"2740";"467";"887";"1386"
"2004 week 13";"2639";"506";"832";"1301"
"2004 week 14";"2743";"502";"875";"1366"
"2004 week 15";"2560";"481";"792";"1287"
"2004 week 16";"2648";"521";"826";"1301"
"2004 week 17";"2541";"485";"803";"1253"
"2004 week 18";"2548";"473";"831";"1244"
"2004 week 19";"2455";"471";"798";"1186"
"2004 week 20";"2563";"475";"826";"1262"
"2004 week 21";"2500";"504";"802";"1194"
"2004 week 22";"2509";"503";"817";"1189"
"2004 week 23";"2485";"466";"782";"1237"
"2004 week 24";"2680";"503";"893";"1284"
"2004 week 25";"2403";"433";"785";"1185"
"2004 week 26";"2442";"500";"800";"1142"
"2004 week 27";"2454";"478";"811";"1165"
"2004 week 28";"2493";"498";"799";"1196"
"2004 week 29";"2399";"491";"769";"1139"
"2004 week 30";"2372";"478";"750";"1144"
"2004 week 31";"2449";"508";"818";"1123"
"2004 week 32";"2642";"530";"825";"1287"
"2004 week 33";"2679";"491";"799";"1389"
"2004 week 34";"2414";"473";"748";"1193"
"2004 week 35";"2429";"515";"753";"1161"
"2004 week 36";"2414";"476";"785";"1153"
"2004 week 37";"2459";"513";"798";"1148"
"2004 week 38";"2405";"483";"769";"1153"
"2004 week 39";"2434";"526";"781";"1127"
"2004 week 40";"2558";"513";"840";"1205"
"2004 week 41";"2438";"481";"762";"1195"
"2004 week 42";"2497";"505";"820";"1172"
"2004 week 43";"2529";"516";"802";"1211"
"2004 week 44";"2578";"517";"847";"1214"
"2004 week 45";"2517";"493";"816";"1208"
"2004 week 46";"2537";"518";"830";"1189"
"2004 week 47";"2575";"520";"860";"1195"
"2004 week 48";"2567";"506";"841";"1220"
"2004 week 49";"2619";"484";"842";"1293"
"2004 week 50";"2607";"522";"837";"1248"
"2004 week 51";"2734";"533";"847";"1354"
"2004 week 52";"2836";"516";"923";"1397"
"2004 week 53 (5 dagen)";"2067";"353";"668";"1046"
"2004";"136553";"26054";"43405";"67094"
"2005 week 1";"2871";"462";"876";"1533"
"2005 week 2";"2808";"477";"870";"1461"
"2005 week 3";"2845";"510";"868";"1467"
"2005 week 4";"2813";"474";"853";"1486"
"2005 week 5";"2906";"550";"894";"1462"
"2005 week 6";"3001";"519";"953";"1529"
"2005 week 7";"3094";"537";"949";"1608"
"2005 week 8";"3197";"533";"908";"1756"
"2005 week 9";"3351";"526";"994";"1831"
"2005 week 10";"3277";"527";"919";"1831"
"2005 week 11";"3089";"487";"922";"1680"
"2005 week 12";"2961";"495";"866";"1600"
"2005 week 13";"2765";"517";"839";"1409"
"2005 week 14";"2670";"471";"807";"1392"
"2005 week 15";"2615";"492";"787";"1336"
"2005 week 16";"2566";"501";"777";"1288"
"2005 week 17";"2530";"446";"775";"1309"
"2005 week 18";"2564";"491";"766";"1307"
"2005 week 19";"2572";"476";"877";"1219"
"2005 week 20";"2574";"469";"818";"1287"
"2005 week 21";"2662";"492";"856";"1314"
"2005 week 22";"2460";"469";"777";"1214"
"2005 week 23";"2377";"480";"746";"1151"
"2005 week 24";"2539";"496";"850";"1193"
"2005 week 25";"2782";"507";"873";"1402"
"2005 week 26";"2509";"459";"813";"1237"
